#Ribo-seq raw count
len_ribo	es1_ribo	es2_ribo	es3_ribo	npc1_ribo	npc2_ribo	npc3_ribo
CLCC1	4964	91	88	125	69	87	98
WDR47	4423	22	9	26	14	11	24
BX679664.2	283	0	0	0	0	0	0
BX679664.3	555	0	0	0	0	0	0
BX679664.1	253	0	0	0	1	0	0
RANP5	655	2	1	0	0	0	1
TAF13	1400	78	90	73	24	26	15
AL356488.3	2888	0	0	0	0	0	0
TMEM167B	4574	39	25	44	52	46	55
SCARNA2	420	0	0	0	0	0	0
AL356488.2	427	0	0	0	0	0	0
AL356488.1	609	0	0	0	0	0	0
C1orf194	1235	0	0	0	0	0	1
KIAA1324	9194	4	3	4	5	5	4
SARS	3849	757	466	849	656	788	1058
CELSR2	12830	159	154	205	288	342	495
PSRC1	2855	266	139	291	159	209	214
MYBPHL	1759	0	1	0	0	1	2
SORT1	9127	485	725	672	340	339	460
PSMA5	5734	482	351	660	145	178	248
SYPL2	4042	21	15	39	1	0	0
ATXN7L2	5232	19	7	30	31	38	66
CYB561D1	5690	17	23	26	8	10	11
AMIGO1	5141	7	12	10	19	30	32
GPR61	5057	0	0	0	2	0	0
AL355310.3	582	0	0	0	0	0	0
GNAI3	27173	234	120	291	553	668	801
RNU6V	107	0	0	0	0	0	0
AL355310.1	596	0	0	0	0	0	0
MIR197	75	0	0	0	0	0	0
GNAT2	1381	0	0	0	0	0	0
AMPD2	6849	128	58	117	123	198	177
AL355310.2	688	0	0	0	0	0	0
RPL7P8	730	0	0	0	0	0	0
GSTM4	5727	57	31	73	6	14	14
GSTM2	9116	9	10	18	7	11	14
GSTM1	2512	18	3	9	5	6	2
AC000032.1	491	0	0	0	0	0	0
GSTM5	6067	4	0	0	0	0	0
AL158847.1	808	0	0	0	0	0	0
GSTM3	4750	16	22	33	18	14	14
EPS8L3	3477	0	5	8	4	1	1
NDUFA5P10	357	0	0	0	0	0	0
LINC01768	476	0	0	0	0	0	0
AL450468.1	450	0	0	0	0	0	0
AL450468.2	1889	0	0	0	0	0	0
CSF1	5238	14	13	17	37	32	55
AHCYL1	5035	415	160	457	288	493	487
STRIP1	7344	201	115	249	462	450	544
AL160006.1	4216	0	0	1	1	2	3
ALX3	1976	0	0	0	0	0	0
LINC01397	579	0	0	0	0	0	0
UBL4B	1478	0	0	0	0	0	0
SLC6A17	6636	2	0	0	3	1	3
AL355990.1	1660	0	0	0	0	0	0
AL355990.2	508	0	0	0	0	0	0
LINC02586	748	0	0	0	0	2	0
KCNC4	25042	13	5	9	37	42	73
AL137790.1	177	0	0	0	0	0	0
RF00402	2127	0	0	0	0	0	0
RBM15-AS1	2611	0	0	1	0	2	0
RBM15	4670	321	92	347	327	427	530
LAMTOR5-AS1	12654	0	0	0	3	1	3
SLC16A4	3164	0	1	0	1	3	8
AL355488.1	2850	0	0	0	0	0	0
LAMTOR5	2388	87	102	102	37	32	40
PROK1	1393	0	0	0	0	0	0
AL358215.1	482	0	0	0	0	0	0
AL358215.2	960	0	0	0	0	0	0
AL358215.3	1186	0	0	0	0	0	0
CYMP	1263	0	0	0	0	0	0
CYMP-AS1	2351	0	0	0	0	0	0
KCNA10	1959	0	0	1	0	0	0
KCNA2	17379	2	0	1	0	0	0
AL365361.1	3481	0	0	0	0	0	0
KCNA3	2476	0	1	1	0	0	0
NRBF2P3	865	0	0	0	0	0	0
OR11I1P	954	0	0	0	0	0	0
CD53	2152	13	18	8	1	0	0
AL360270.2	5985	0	0	0	0	0	0
AL360270.1	2359	0	0	0	0	0	0
LRIF1	3502	50	8	31	48	70	64
AL360270.3	1348	5	0	2	6	1	3
CCNT2P1	1315	0	0	0	0	0	0
RNA5SP54	92	0	0	0	0	0	0
DRAM2	3138	54	77	61	83	96	100
CEPT1	8418	88	125	127	113	148	128
AL355816.1	118	0	0	0	0	0	0
AL355816.2	647	0	0	0	0	0	0
DENND2D	6677	0	1	0	1	0	0
CHI3L2	3295	3	4	4	0	0	0
CHIAP1	995	0	0	0	0	0	0
CHIAP2	2837	0	0	0	0	0	0
CHIA	4643	0	0	0	0	0	0
AL356387.1	476	0	0	0	0	0	0
AL356387.2	243	0	0	0	0	0	0
PIFO	3949	30	9	29	8	18	21
CHIAP3	1133	0	0	0	0	0	0
HIGD1AP12	281	0	0	0	0	0	0
PGCP1	1358	0	0	0	0	0	0
OVGP1	2567	0	1	0	3	2	1
AL390195.2	2023	0	0	0	0	1	0
UBE2FP3	524	0	0	0	0	0	0
AL390195.1	861	0	0	1	0	0	1
WDR77	2685	418	310	543	64	114	130
ATP5PB	3138	346	264	394	114	163	165
C1orf162	2768	0	0	0	0	3	8
TMIGD3	2428	0	0	0	0	0	0
RNU6-792P	107	0	0	0	0	0	0
ADORA3	2687	0	0	0	0	1	0
RAP1A	5532	25	33	35	10	22	10
LINC01160	1377	0	0	0	0	0	0
KRT18P57	1254	0	0	0	1	0	0
RNU6-151P	107	0	0	0	0	0	0
INKA2	6393	17	22	26	9	11	20
INKA2-AS1	2414	0	0	4	0	1	1
AL049557.1	4326	0	0	0	0	0	0
DDX20	5585	285	94	376	82	166	143
KCND3	7863	4	2	4	2	0	4
KCND3-IT1	376	0	0	0	0	0	0
KCND3-AS1	777	0	0	0	0	0	0
LINC01750	3590	0	0	0	0	0	0
AL445426.1	6267	2	2	0	0	1	0
TXNP3	301	0	0	1	0	0	0
CTTNBP2NL	7371	50	52	84	269	256	288
MIR4256	64	0	0	0	0	0	0
WNT2B	12374	0	0	0	0	2	3
AL354760.1	643	0	0	0	0	0	0
ST7L	8108	47	71	41	56	54	85
CAPZA1	3495	153	140	199	152	191	180
MRPL53P1	319	0	0	0	0	0	0
RNU7-70P	66	0	0	0	0	0	0
MOV10	6509	393	92	387	518	544	706
AL603832.1	449	0	0	0	2	0	0
RHOC	4028	68	55	84	48	74	49
AL603832.3	1078	0	0	0	0	0	0
PPM1J	2874	9	7	16	2	1	2
AL603832.2	2125	0	0	0	1	0	0
TAFA3	1282	0	1	0	0	0	0
NUTF2P4	381	0	0	0	0	0	0
LINC01356	3183	12	21	13	0	1	0
LINC01357	794	0	0	0	0	3	0
AL390729.1	156	0	0	0	0	0	0
SLC16A1	5312	5450	6227	6546	3568	3551	5027
AKR7A2P1	915	0	0	0	0	0	0
SLC16A1-AS1	12677	12	5	10	9	11	20
AL390242.1	1389	0	0	0	0	0	0
AL357055.3	2467	0	0	0	3	0	1
LRIG2	12467	128	165	194	282	245	281
RLIMP2	1563	0	0	0	0	0	0
AL357055.1	410	0	1	1	0	1	0
AL357055.2	434	1	1	0	0	1	0
MAGI3	8414	7	4	16	69	82	89
AL391058.1	1029	0	0	0	0	1	0
MTND5P20	143	0	0	0	0	0	0
PHTF1	7170	89	79	96	48	79	84
AL133517.1	748	0	0	0	0	0	0
RSBN1	6819	90	36	106	57	69	104
AL137856.1	1582	0	0	0	0	0	0
PTPN22	4497	0	0	0	0	0	0
AP4B1-AS1	1734	0	0	0	0	0	0
BCL2L15	9095	0	0	0	0	0	0
AP4B1	5847	45	21	61	44	59	66
DCLRE1B	3868	16	28	25	15	16	18
HIPK1-AS1	3090	0	0	0	0	0	1
HIPK1	9148	75	48	74	67	115	120
OLFML3	2821	1101	1415	1546	426	402	556
AL591742.1	565	0	1	0	0	0	0
AL591742.2	2119	32	22	38	0	0	0
SYT6	5104	268	130	294	84	96	96
AL121999.1	332	0	0	0	0	0	0
MRPL57P1	265	0	0	0	0	0	0
AL035410.2	864	0	0	0	0	0	0
TRIM33	9604	268	128	295	305	344	444
AL035410.1	427	0	0	0	0	0	0
EIF2S2P5	968	0	0	1	0	0	0
PKMP1	1523	1	0	3	10	7	5
BCAS2	1289	406	331	443	234	343	432
DENND2C	7413	10	2	2	1	2	1
AMPD1	3082	0	0	1	0	0	0
RN7SL432P	298	0	0	0	0	0	0
NRAS	4326	264	309	323	236	300	266
CSDE1	5778	1210	481	1300	1364	1632	1953
RNY1P13	105	0	0	1	0	0	0
SIKE1	5894	103	97	138	290	248	389
NR1H5P	1377	0	0	0	0	0	0
SYCP1	4278	0	2	0	0	0	0
TSHB	537	0	0	0	0	0	0
TSPAN2	3413	12	37	16	12	16	35
LINC01765	491	0	0	0	0	0	0
AL049825.1	1354	0	0	0	0	1	1
NGF-AS1	2610	0	0	0	1	0	0
NGF	1047	2	7	5	10	7	18
AL512638.3	386	0	0	0	0	0	0
AL512638.1	794	0	0	0	0	0	0
AL512638.2	298	0	0	0	0	0	0
ELOCP20	345	0	0	0	0	0	0
CNOT7P2	832	0	0	0	0	0	0
AL592436.1	558	0	0	0	0	0	0
RN7SL420P	298	0	0	0	0	0	0
RF00406	271	1	0	0	1	0	0
VANGL1	9045	92	121	108	54	30	40
CASQ2	2769	0	0	0	1	2	0
NHLH2	7541	2	7	5	4	12	8
HNRNPA1P43	910	0	0	1	0	0	0
LINC01649	2428	1	2	0	0	0	0
AL357137.1	203	0	0	0	0	0	0
SLC22A15	5277	6	4	5	1	4	10
AL365318.1	705	0	0	0	0	0	0
MAB21L3	3256	0	0	0	0	0	0
LINC01779	914	0	0	0	2	0	0
RF00012	10862	29	23	29	13	13	11
AL355538.1	1427	0	0	0	0	0	0
ATP1A1	7277	2066	1818	2794	1197	1179	1458
ATP1A1-AS1	6514	0	0	0	0	1	2
RNU6-817P	104	0	0	0	0	0	0
LINC01762	1759	0	0	0	0	0	0
AL136376.1	515	0	0	0	0	0	0
AL390066.1	2302	0	0	2	0	1	0
AL390066.2	745	0	0	0	0	0	0
CD58	1784	13	18	32	17	11	13
NAP1L4P1	1157	2	1	2	1	0	1
MIR548AC	88	0	0	0	0	0	0
IGSF3	7400	249	188	235	158	143	203
MIR320B1	79	0	0	0	0	0	0
C1orf137	386	0	0	0	0	0	0
GAPDHP64	1003	0	0	0	0	0	0
NEFHP1	2629	0	0	0	0	0	0
CD2	1635	0	0	0	0	0	0
FTH1P22	520	1	0	0	0	0	0
AL157904.1	383	0	0	0	0	0	0
PTGFRN	6488	206	210	225	213	242	298
RNA5SP55	125	0	0	0	0	0	2
CD101	3828	4	3	4	2	3	4
AL445231.1	1946	0	0	1	0	0	0
TTF2	10158	471	69	438	127	203	207
MIR942	86	0	0	0	1	1	1
TRIM45	4368	29	25	43	75	71	103
RPS15AP9	381	0	0	0	0	0	0
VTCN1	3027	0	0	0	2	0	0
LINC01525	858	0	0	0	0	0	0
AL358072.1	575	0	0	0	0	0	0
MAN1A2	9667	31	34	27	196	184	232
AL157902.2	1492	0	0	0	0	0	0
VPS25P1	508	0	0	0	0	0	0
AL157902.1	1091	0	0	0	0	0	0
TENT5C	5654	14	3	4	2	2	2
VDAC2P3	828	1	0	0	0	0	0
RF00561	2249	0	2	0	0	2	0
AL390877.1	214	0	0	0	0	0	0
PNRC2P1	420	0	0	0	0	0	0
GDAP2	10487	33	30	44	84	96	140
WDR3	10276	353	74	396	95	150	131
SPAG17	9552	3	1	2	4	6	2
AL391557.1	1348	0	0	0	0	0	0
RNA5SP56	118	61	63	126	99	81	31
PSMC1P12	1314	0	0	0	1	0	0
AL139148.1	680	0	0	0	0	0	0
TBX15	4344	3	0	2	2	8	5
AL139420.1	653	0	0	0	0	0	0
AL139420.2	410	0	0	0	0	0	0
WARS2	3847	22	20	19	11	6	9
WARS2-IT1	2060	0	0	0	0	0	0
RBMX2P3	957	0	0	0	0	0	0
RPS3AP12	753	0	0	0	0	0	0
WARS2-AS1	11469	1	2	4	16	32	20
RPL6P2	783	0	0	0	0	0	0
AL359915.1	2921	12	4	8	0	0	0
LINC01780	1528	9	18	28	0	0	1
RNU1-75P	129	0	0	4	32	28	50
HAO2	1877	0	0	0	0	0	0
HAO2-IT1	311	0	0	0	0	0	0
HSD3B2	2277	0	0	0	0	0	0
GAPDHP74	915	0	0	1	0	0	0
HSD3BP2	1118	0	0	0	0	0	0
GAPDHP23	993	0	1	1	1	0	2
HSD3BP1	1111	0	0	0	0	0	0
GAPDHP58	1006	0	1	0	0	2	1
HSD3B1	2443	0	0	0	0	0	0
GAPDHP32	998	2	0	1	1	0	0
HSD3BP3	994	0	0	0	0	0	0
GAPDHP27	1020	1	2	0	0	0	0
HSD3BP4	1120	0	0	0	0	0	0
GAPDHP33	1013	4	2	5	0	2	1
LINC00622	1570	0	0	0	0	0	0
HSD3BP5	1132	0	0	0	0	0	0
ZNF697	5579	37	26	41	15	24	31
PHGDH	9217	2253	790	2703	945	1534	1653
HMGCS2	2571	0	0	0	0	2	0
REG4	3414	0	0	0	0	0	1
NBPF7	1332	0	0	0	0	0	0
PFN1P9	433	5	2	6	0	0	0
NOTCH2P1	624	0	0	0	0	0	0
ADAM30	2963	0	0	0	0	0	0
NOTCH2	19930	502	466	478	1657	1679	2341
AC245008.1	476	0	0	0	0	0	0
RNU6-465P	101	0	0	0	0	0	0
SEC22B	9034	71	49	73	35	38	63
AC244669.2	853	0	0	0	0	0	0
RF00100	1870	0	0	0	0	0	0
AC244669.1	1107	0	0	1	1	1	2
RF00003	2105	248	188	334	1498	1688	2112
NBPF8	5961	0	4	0	5	3	14
PFN1P2	1849	0	0	0	0	0	0
AC241952.1	9444	0	0	0	4	12	6
RF00004	3017	9	6	17	167	184	274
AC253572.1	1111	0	0	0	1	0	0
NBPF26	6782	0	0	0	8	4	5
AC253572.2	1312	0	0	0	0	2	0
RNVU1-19	167	0	0	0	0	0	0
PPIAL4A	660	0	0	0	0	0	0
AC241377.3	1088	0	0	0	0	0	0
LINC00623	2600	10	3	7	7	13	8
RNVU1-4	164	4	18	11	4	1	8
AC241377.4	1420	0	0	0	0	0	0
AC241377.2	1314	0	0	0	0	0	0
AC241377.1	406	0	0	0	0	0	0
FCGR1B	3383	0	0	0	0	0	0
AC244453.3	459	0	0	0	0	0	0
AC244453.2	3543	0	0	0	0	0	0
HIST2H2BA	756	0	2	1	1	0	0
AC244453.1	494	0	0	0	0	0	0
HIST2H3DP1	416	0	0	1	0	0	0
RPL22P6	388	0	0	0	0	0	0
FAM72B	3033	2	2	0	5	4	12
SRGAP2C	7311	0	0	1	9	1	6
AC243994.1	109	0	0	0	0	0	0
SRGAP2-AS1	2649	0	0	0	0	0	0
AC244021.1	4737	0	0	0	0	0	0
AL592494.1	544	0	0	0	0	0	0
MTIF2P1	1548	0	3	3	0	0	0
AL592494.2	464	0	0	0	0	0	0
EMBP1	5745	1	0	4	0	0	3
LINC01691	426	0	0	0	0	0	0
AC242852.1	96	0	0	0	0	0	0
AC242852.2	1807	0	0	0	0	0	0
AC239859.6	213	0	0	0	0	0	0
RNA5SP533	110	0	0	0	0	0	0
AC239859.4	675	0	0	0	0	0	0
AC239859.5	1232	0	0	0	0	0	0
NKAIN1P1	582	0	0	0	0	0	0
AC239859.2	318	0	0	0	0	0	0
AC239859.3	408	0	0	0	0	0	0
AC239859.1	2594	0	0	0	0	0	0
NBPF17P	2119	0	0	0	0	0	1
PFN1P12	534	0	0	0	0	0	0
RNU1-114P	166	0	0	0	0	0	0
RNVU1-17	164	34	16	37	542	665	687
RNU1-92P	135	0	0	1	0	0	0
RNVU1-18	164	0	0	1	1	1	3
AC239800.2	2675	2	0	0	2	6	1
AC239800.1	869	0	0	0	0	0	0
FAM91A3P	2544	0	0	0	0	0	0
AC239800.3	296	0	0	0	0	0	0
LINC02591	5243	0	0	0	0	0	0
RNU1-143P	146	0	0	0	0	0	0
AC239798.1	1176	0	0	0	0	0	0
AC239798.3	408	0	0	0	0	0	0
FCGR1CP	1127	0	0	0	0	0	0
AC239798.2	4107	0	0	0	0	0	0
HIST2H3PS2	3959	0	2	0	0	0	0
AC246680.1	494	0	0	0	0	0	0
RPL22P5	389	0	0	0	0	0	0
FAM72C	2297	0	0	0	0	0	0
SRGAP2D	1021	0	0	0	0	0	0
IGKV1OR1-1	347	0	0	0	0	0	0
AC244015.1	99	0	0	0	0	0	0
AC244015.2	1861	0	0	0	0	0	0
AC245595.1	878	0	0	0	0	0	0
RNA5SP529	110	0	0	0	0	0	0
DRD5P2	2012	0	0	0	0	0	0
AC245595.2	1476	0	0	0	0	0	0
PPIAL4E	785	0	0	0	0	0	0
AC246785.4	287	0	0	0	0	0	0
RNVU1-15	165	71	99	91	108	127	165
AC246785.3	314	0	0	0	0	0	0
AC246785.2	513	0	0	0	0	0	0
NBPF15	5306	3	4	16	24	21	51
PFN1P6	399	0	0	0	0	0	0
AC246785.1	264	0	0	0	0	0	0
PPIAL4F	660	0	0	0	0	0	0
LINC01632	939	0	0	0	0	0	0
FP700111.1	2502	0	0	0	0	0	0
FP700107.1	1178	0	0	0	0	0	0
RNA5SP59	110	0	0	0	0	0	0
FP700111.2	1892	0	0	0	0	0	0
FP700111.3	99	0	0	0	0	0	0
SRGAP2B	7230	0	0	0	3	6	11
AC242498.1	111	0	0	0	0	0	0
FAM72D	2423	0	0	0	0	0	0
AC241585.3	686	0	0	0	0	0	0
LINC01145	6056	2	1	5	1	1	0
AC241585.2	1088	0	0	0	0	0	0
AC241585.1	519	1	0	0	0	0	2
PPIAL4D	495	0	0	0	0	0	0
AC245014.2	287	0	0	0	0	0	0
RNVU1-14	164	0	0	0	0	0	0
AC245014.3	347	0	0	1	2	0	0
AC245014.1	381	0	0	0	0	0	0
NBPF20	18995	0	0	0	1	0	4
PFN1P3	402	0	0	0	0	0	0
AC239860.3	2210	0	0	0	0	0	0
AC239860.4	1992	0	0	0	0	0	0
AC239860.2	270	0	0	0	0	0	0
AC239860.1	1270	0	0	0	0	0	0
NBPF25P	3827	0	0	0	0	0	2
GPR89A	5561	1	3	0	1	3	1
PDZK1	2480	3	0	0	0	0	1
CD160	3971	0	0	1	1	0	0
RNF115	11059	74	43	68	19	37	41
POLR3C	4690	194	74	185	145	149	209
NUDT17	1657	0	5	7	9	7	13
PIAS3	4806	210	135	267	87	119	178
MIR6736	59	0	0	0	0	0	0
ANKRD35	3363	46	39	41	20	17	24
ITGA10	6242	0	1	0	0	0	0
AC243547.1	408	0	0	0	0	0	0
PEX11B	1718	40	12	54	18	44	55
RBM8A	5585	33	30	50	38	48	52
GNRHR2	2511	0	1	0	2	1	0
LIX1L-AS1	3248	0	0	0	0	0	0
AC243547.3	1095	0	0	0	0	0	0
LIX1L	3991	0	3	5	2	2	4
ANKRD34A	3671	0	0	1	0	0	0
AC243547.2	234	0	0	0	0	0	0
POLR3GL	1811	2	0	2	8	12	23
TXNIP	3625	102	48	143	479	653	744
HJV	2418	0	0	1	0	0	0
AC239799.2	1804	0	1	0	0	0	1
RNVU1-6	164	0	0	0	0	0	0
LINC01719	4614	0	0	0	5	7	1
NBPF10	14374	0	0	0	0	2	0
NOTCH2NLA	2957	0	0	0	0	0	0
AC239799.1	2002	0	0	0	0	0	0
RNU6-1071P	101	0	0	0	0	0	0
NUDT4P2	546	0	0	0	0	0	0
SEC22B4P	1466	0	0	0	1	2	0
PPIAL4H	660	0	0	0	0	0	0
AC245407.2	668	1	0	0	0	0	2
AC245407.1	451	0	0	0	0	0	0
HYDIN2	17641	0	0	0	1	1	6
RNA5SP536	123	1	0	1	0	0	1
RF00619	235	0	0	0	0	0	0
NBPF12	7272	0	5	0	2	2	1
PFN1P8	543	0	0	0	0	0	0
AC244394.2	884	0	0	0	0	0	0
NBPF13P	1783	0	0	0	0	0	1
AC244394.1	1665	1	0	0	0	0	1
RNU1-151P	125	0	0	0	3	9	7
AC241584.1	1241	0	0	0	6	5	1
RNVU1-8	141	58	24	45	390	468	455
AC241584.2	2090	0	0	0	0	0	0
PRKAB2	5460	68	55	74	26	49	69
PDIA3P1	3328	12	6	8	21	44	47
AC242426.2	4139	0	0	0	0	0	1
FMO5	5984	12	3	5	0	0	1
CCT8P1	1657	0	1	0	0	4	3
RPL7AP15	795	0	0	0	0	0	0
CHD1L	4301	3	1	2	1	4	3
LINC00624	5564	0	0	0	1	0	1
AC242426.1	960	0	0	0	0	1	0
OR13Z1P	848	0	0	0	0	0	0
OR13Z2P	555	0	0	0	0	0	0
OR13Z3P	391	0	0	0	0	0	0
BCL9	6331	92	55	98	221	248	373
ACP6	11993	20	33	17	77	91	94
RN7SL261P	282	0	0	0	0	0	0
AC241644.1	446	0	0	0	0	0	0
GJA5	3288	3	7	4	3	0	0
AC241644.3	668	0	0	0	0	0	0
AC241644.2	480	0	0	0	0	0	0
AC239801.1	1398	0	0	0	0	0	0
GJA8	1302	0	0	0	0	0	0
GPR89B	5143	8	5	6	7	10	3
PDZK1P1	3674	4	9	7	5	8	2
AC239803.2	430	0	0	0	0	0	0
AC239803.3	2603	1	0	0	0	1	0
RNU1-129P	167	0	0	0	0	0	0
RNVU1-7	164	13	6	9	46	40	75
PDE4DIPP1	1641	0	0	0	0	0	0
NBPF11	5947	0	3	1	11	7	8
PFN1P4	402	0	0	0	0	0	0
ABHD17AP1	933	0	0	0	0	0	0
AC239803.1	6391	0	0	0	0	0	0
AC239809.3	16052	0	0	0	1	0	0
RNA5SP57	123	12	16	28	8	7	13
AC239809.1	217	0	0	0	0	0	0
AC239809.2	517	0	0	0	0	0	0
RNU1-120P	157	60	24	48	431	513	526
LINC01731	420	0	0	0	0	0	0
AC245100.3	285	0	0	0	0	1	0
LINC01138	7757	2	2	8	29	35	40
AC245100.6	1918	0	0	1	0	0	0
AC245100.1	3386	1	1	1	2	0	2
AC245100.5	331	6	0	2	1	1	1
MIR5087	76	0	0	0	0	0	0
RNU1-122P	156	0	0	0	0	0	0
AC245100.7	442	0	0	0	0	0	0
RNVU1-1	164	19	6	23	138	143	218
RNVU1-2	135	0	0	0	0	0	0
MIR6077	82	0	0	0	0	0	0
RNU1-13P	162	17	7	7	37	28	66
AC245100.4	3330	0	0	1	2	3	5
RNVU1-3	161	9	6	12	22	39	48
AC245100.2	1679	0	0	0	0	0	0
AC245100.9	140	0	0	0	0	0	0
AC245100.8	1058	0	0	1	0	0	0
PPIAL4G	3856	0	0	0	0	0	0
NBPF14	11985	0	0	0	0	1	0
AC239811.1	1108	0	0	0	0	0	0
RNU6-1171P	101	0	0	0	0	0	0
NUDT4B	1206	0	0	0	0	0	0
SEC22B3	576	0	0	0	0	0	0
AC245389.1	529	0	0	0	0	0	0
PDE4DIP	27623	56	26	55	197	225	293
RN7SKP88	250	0	0	0	0	0	0
RNU2-38P	79	0	0	0	0	0	0
AC239802.1	406	0	0	0	0	0	0
AC239802.2	554	0	0	0	0	0	0
AC239804.1	869	0	0	0	0	0	0
NBPF9	9046	2	4	3	26	30	48
AC239804.2	522	0	0	0	0	0	0
RNU1-59P	162	0	0	0	0	0	0
AC245297.3	4291	0	0	0	0	0	0
AC245297.1	1033	0	0	0	0	0	0
AC245297.2	565	0	0	0	0	0	0
SEC22B2	573	0	0	0	0	0	0
AC242843.1	5343	0	0	0	0	0	0
AC242842.3	14425	0	0	0	0	0	0
NBPF19	13754	0	0	0	0	0	0
PPIAL4C	600	0	0	0	0	0	0
LINC00869	10917	4	1	8	18	16	29
AC242842.2	143	0	0	0	0	0	0
AC242842.1	447	0	0	0	0	0	0
FAM91A2P	2536	0	0	0	0	0	0
AC243772.3	3340	1	2	1	0	0	0
RNU1-68P	146	0	0	0	0	0	0
AC243772.1	410	0	0	0	0	0	0
FCGR1A	2998	0	0	0	0	0	0
HIST2H2BF	3196	28	13	27	1	1	4
AC243772.2	3543	0	0	0	0	0	0
HIST2H3D	411	87	103	91	7	3	5
HIST2H4A	1876	0	0	0	0	0	0
HIST2H3C	1656	0	0	0	0	0	0
HIST2H2AA3	549	0	0	0	0	0	0
HIST2H2BD	3612	0	0	0	3	2	0
HIST2H2BC	6440	1	0	0	0	1	2
HIST2H2AA4	564	0	0	0	0	0	0
HIST2H3A	1656	0	0	0	0	0	0
HIST2H4B	1929	0	0	0	0	0	0
AC239868.1	1234	0	0	0	0	0	0
HIST2H2BE	2194	161	156	218	22	24	21
HIST2H2AC	390	355	422	362	41	46	42
HIST2H2AB	530	496	572	717	158	124	154
BOLA1	1461	23	26	19	10	17	48
SV2A	4786	254	211	292	64	69	86
SF3B4	1704	487	143	558	94	187	218
MTMR11	4572	3	4	5	10	6	10
OTUD7B	12227	44	20	61	51	82	112
AC244033.2	3586	2	2	2	2	1	4
AC244033.1	870	0	0	0	0	0	0
VPS45	6637	105	47	103	45	64	45
PLEKHO1	6629	96	74	160	133	146	212
AC242988.2	1155	0	0	0	0	0	0
RN7SL480P	294	0	2	1	0	0	0
ANP32E	3605	489	301	553	575	574	600
RNU2-17P	190	0	2	2	5	0	1
AC242988.1	714	0	0	0	0	0	0
CA14	3296	450	483	634	602	545	809
APH1A	3473	294	514	377	133	79	129
C1orf54	1270	50	80	50	90	72	110
CIART	2849	17	3	34	22	28	41
MRPS21	1641	726	788	853	318	347	415
PRPF3	5408	113	21	124	241	253	294
RPRD2	8738	171	87	216	287	335	396
TARS2	4077	609	328	686	276	394	452
MIR6878	66	0	0	0	0	0	0
ECM1	3360	1	0	0	11	14	14
FALEC	566	0	0	0	0	0	0
AL356356.1	665	0	0	0	0	0	0
ADAMTSL4	6432	3	6	4	3	4	8
MIR4257	86	0	0	0	0	0	0
ADAMTSL4-AS1	2622	0	0	0	1	2	0
RN7SL473P	299	0	0	0	0	0	0
RN7SL600P	299	0	0	0	0	0	1
MCL1	4371	459	190	547	233	383	359
ENSA	5493	327	266	347	259	210	400
RF00015	727	0	0	0	0	1	2
GOLPH3L	3334	129	70	170	62	89	110
HORMAD1	2412	0	0	0	0	0	0
RNU6-1042P	107	0	0	0	0	0	0
CTSS	4071	0	0	0	0	0	1
AL356292.1	373	0	0	0	0	0	0
CTSK	1824	32	66	56	12	14	16
UBE2D3P3	425	0	0	0	0	0	0
ARNT	6448	173	103	221	155	220	211
RNU6-1309P	108	0	0	0	0	0	0
RPS27AP6	448	0	0	0	0	0	0
CTXND2	1229	0	0	0	0	0	0
CYCSP51	318	0	1	0	0	0	0
SETDB1	7093	164	48	163	275	347	397
CERS2	4644	546	738	737	420	388	662
AL590133.2	778	0	0	0	0	0	0
AL590133.1	368	4	0	1	0	0	1
ANXA9	1594	14	1	23	13	15	22
MINDY1	3792	37	14	28	30	45	59
PRUNE1	3156	98	112	118	97	94	149
RNU6-884P	107	1	0	0	3	6	2
BNIPL	3809	25	7	20	114	124	173
C1orf56	2331	16	7	20	10	13	26
CDC42SE1	4184	59	51	90	114	149	175
MLLT11	4075	142	199	150	98	115	187
GABPB2	9189	5	2	2	14	7	21
RPS29P29	171	0	0	0	0	0	0
AL592424.1	1536	0	0	0	0	0	0
SEMA6C	5809	26	24	48	142	133	128
TNFAIP8L2	1158	0	0	0	0	0	0
SCNM1	3265	305	147	312	186	218	254
LYSMD1	2508	23	30	18	44	42	49
TMOD4	1843	0	0	0	0	0	0
VPS72	4545	285	115	315	197	207	274
PIP5K1A	5405	218	182	227	263	319	359
PSMD4	3027	418	231	469	433	465	700
ZNF687-AS1	989	0	8	4	0	2	6
ZNF687	6324	200	82	155	89	148	194
PI4KB	5456	88	58	86	108	141	177
RN7SL444P	300	0	1	0	0	0	0
AL391069.3	481	0	0	0	0	0	0
RFX5	4586	40	17	30	85	79	82
AL391069.1	358	0	0	0	0	0	0
AL391069.2	618	0	1	0	2	1	0
SELENBP1	3476	133	77	159	84	133	157
PSMB4	2125	2565	2237	3290	587	805	936
POGZ	10301	182	85	176	166	223	266
RNY4P25	96	1	0	0	0	0	0
CGN	6616	277	101	336	602	729	755
RF00405	108	0	0	0	0	0	0
TUFT1	3878	59	41	51	150	167	233
AL365436.2	526	0	0	2	2	0	0
MIR554	96	0	0	0	0	0	0
AL365436.1	495	0	0	0	0	0	2
SNX27	16711	89	41	122	41	76	84
AL391335.1	535	0	0	0	0	0	0
RNU6-1062P	107	0	0	0	0	1	0
AL589765.1	386	0	0	0	0	0	1
CELF3	4439	3	1	1	2	2	5
RIIAD1	2261	0	0	0	1	0	2
