#RNA-seq raw count
len_rna	es1_rna	es2_rna	es3_rna	npc1_rna	npc2_rna	npc3_rna
FRYL	18161	1280	1493	1561	2436	3138	3109
RNU5E-3P	68	0	1	1	0	0	2
OCIAD1	4714	1844	2278	2634	2130	2948	2837
OCIAD1-AS1	265	0	0	0	0	0	0
OCIAD2	2483	548	777	451	671	1006	911
RNU6-158P	100	0	0	0	0	0	0
AC020593.1	299	0	0	0	0	0	0
CWH43	3110	0	0	0	0	1	0
TPI1P4	473	0	0	0	0	0	0
AC118282.3	556	0	0	0	0	0	0
AC118282.2	374	0	0	0	0	0	0
AC118282.4	1712	0	0	0	0	0	0
SNX18P23	677	0	0	0	3	0	0
AC118282.1	765	0	0	0	0	0	0
MTCO3P39	518	0	0	0	0	0	0
MTND3P22	243	0	0	0	0	0	0
AC119751.3	670	0	0	0	0	0	0
ANKRD20A17P	1330	0	0	0	0	1	0
AC119751.5	770	0	0	0	0	0	0
AC119751.2	210	0	0	0	0	0	0
AC119751.8	156	0	0	0	0	0	0
AC119751.7	245	0	0	0	0	0	0
MTCO3P42	518	0	0	0	0	0	0
AC119751.1	765	0	0	0	0	0	0
AC119751.6	186	0	0	0	0	0	0
SNX18P24	671	0	0	0	0	0	0
AC119751.4	357	0	0	0	0	0	1
SNX18P25	758	0	0	0	0	0	0
DCUN1D4	7625	609	804	800	822	1058	1051
DUTP7	486	0	0	0	0	0	0
AC027271.1	610	1	5	2	4	2	6
AC104784.1	294	0	0	0	0	0	0
LRRC66	3327	1	1	1	4	5	8
SGCB	4541	446	645	556	1085	1500	1469
LINC02480	612	0	0	0	0	0	0
SPATA18	4975	50	67	58	66	99	107
AC097522.2	728	0	0	0	1	0	0
AC097522.1	1042	0	0	0	0	0	0
RNU6-1252P	104	0	0	0	0	0	0
USP46	8895	1370	1721	1687	1338	1869	1848
USP46-AS1	1048	17	24	23	32	49	40
AC104066.2	2091	0	0	0	0	0	0
LINC01618	5044	10	14	18	1	10	0
DANCR	2328	2282	3206	1446	883	1273	1165
MIR4449	66	2	3	0	3	0	3
AC104066.3	556	1	0	3	0	8	0
SNORA26	122	21	45	60	18	18	19
AC104066.1	751	4	5	3	1	8	4
ERVMER34-1	4022	588	655	671	137	168	157
RASL11B	2445	92	113	35	37	42	43
SCFD2	3176	773	832	599	176	267	215
AC023154.1	4840	0	0	0	0	0	0
RNU6-310P	107	0	0	2	0	1	0
FIP1L1	5639	274	318	279	398	475	467
AC058822.1	2550	0	0	0	0	0	0
LNX1	5725	198	206	180	259	272	315
LNX1-AS1	1381	0	0	0	0	0	0
AC095040.1	675	0	0	0	0	0	0
LNX1-AS2	887	6	5	3	2	6	6
AC124017.1	3095	0	0	0	0	0	0
AC105384.1	835	0	0	0	0	0	0
AC105384.2	640	0	0	0	0	0	1
RPL21P44	472	1	0	0	2	0	2
AC110792.3	298	2	3	1	0	4	4
CHIC2	1233	167	218	178	204	305	224
AC110792.2	1614	0	0	0	0	0	0
AC110792.4	2825	5	0	4	8	4	5
AC110792.1	224	0	0	0	0	0	0
MORF4L2P1	858	0	0	0	0	0	0
GSX2	1787	7	4	4	0	1	0
RPL22P13	347	0	0	0	1	0	0
PDGFRA	9547	73	49	76	181	279	259
LINC02283	474	0	0	0	0	0	0
AC098587.1	540	0	0	0	0	0	0
AC098868.1	624	0	0	0	0	0	0
LINC02260	2216	0	0	0	0	0	0
KIT	5563	1875	2154	2542	977	1371	1315
AC097494.1	976	0	0	0	0	0	0
LINC02358	465	0	0	0	0	0	0
AC111194.1	1440	0	0	0	0	0	0
RPL38P3	213	0	0	0	0	0	0
RNU6-410P	107	0	0	0	0	0	0
AC111194.2	455	0	0	0	0	0	0
RN7SL424P	289	0	0	0	0	0	0
KDR	6341	11383	12983	14253	3474	4652	4357
AC021220.2	3597	0	0	3	0	0	0
RN7SL822P	296	0	0	0	0	0	0
AC021220.1	630	0	0	0	0	0	0
RNU6-746P	109	0	0	0	0	0	0
LRRC34P2	553	0	0	0	0	0	0
SRD5A3	4291	1395	1869	1333	1657	2176	2058
FCF1P8	597	0	0	0	0	0	0
SRD5A3-AS1	5148	2	6	3	3	3	8
AC069200.1	323	4	7	3	6	8	3
TMEM165	7048	1104	1394	1162	1219	1668	1499
CLOCK	11533	868	929	1250	1097	1344	1454
RN7SKP30	334	7	8	9	13	17	16
AC024243.1	778	5	5	2	7	15	18
PDCL2	900	4	0	6	1	1	2
NMU	975	288	345	224	104	176	138
RNU6-276P	96	0	0	0	0	1	0
EXOC1L	863	0	0	2	0	0	0
EXOC1	5367	422	548	603	685	843	961
RNU6-652P	107	1	6	2	5	12	6
AC110611.1	2912	0	0	0	0	0	0
AC110611.2	1076	0	0	0	1	4	3
CEP135	8640	191	263	254	336	402	359
KIAA1211	6745	1016	1192	1236	1281	1896	1733
RNA5SP161	115	0	0	2	0	2	2
RNU6-197P	100	0	0	0	0	0	0
AC022267.1	1142	0	0	0	0	0	0
MRPL22P1	616	0	0	0	0	0	0
AASDH	4654	311	363	468	696	862	994
RPL7AP31	798	0	0	0	0	4	0
AC068620.1	529	21	26	12	45	49	48
PPAT	5439	1583	1967	2460	1914	2700	2815
AC068620.2	560	0	1	0	0	2	2
AC068620.3	4585	6	8	6	8	13	11
PAICS	7517	12553	15660	15972	13087	18226	18805
SRP72	6145	2206	2746	2991	2858	4244	4296
ARL9	2807	12	25	14	18	27	34
THEGL	1793	0	1	0	6	10	7
GLDCP1	2678	5	7	7	5	11	1
HOPX	7753	0	0	0	3	10	9
AC108215.1	3226	0	0	0	0	0	0
RPL17P20	555	0	0	0	0	0	0
AC022483.1	567	0	0	0	0	1	0
RN7SL492P	295	0	0	0	0	0	0
RN7SL357P	298	0	0	0	0	0	0
SPINK2	772	7	8	7	13	13	9
REST	7983	1783	2385	2817	2072	3076	3013
AC069307.1	447	15	18	17	11	15	10
NOA1	2218	1171	1405	1468	1269	1546	1361
POLR2B	5891	4023	4640	5840	4583	6282	6463
RNU6-998P	101	2	3	1	4	12	6
IGFBP7	1930	6	3	0	2	3	1
UBE2CP3	450	0	0	0	0	0	0
IGFBP7-AS1	3689	1	0	0	0	0	0
AC111197.1	854	3	0	0	0	0	0
AC105390.1	560	0	0	0	0	0	0
RPS26P24	331	0	0	0	0	0	0
LINC02380	2879	0	0	0	0	1	0
AC013724.1	1712	0	0	2	0	0	0
AC107396.1	735	0	0	0	0	0	0
AC093725.2	2110	0	0	0	0	0	0
AC093725.1	2672	0	0	0	0	0	0
AC104790.1	1225	0	0	0	0	0	0
SRIP1	288	0	0	0	0	0	0
AC096725.1	313	0	0	0	0	0	0
LINC02494	427	0	0	0	0	0	0
AC019133.1	515	0	0	0	0	0	0
AC017091.1	2929	0	0	0	0	0	0
LINC02619	1388	0	0	0	0	0	0
LINC02429	1096	0	0	0	0	0	0
AC097501.1	305	0	0	0	0	0	0
AC108517.2	1897	0	0	0	0	0	0
AC108517.1	327	0	0	0	0	0	0
AC096588.1	558	0	0	0	0	0	0
AC093857.1	760	0	0	0	0	0	0
RNU6-1325P	105	0	0	0	0	0	0
AC092596.1	1038	0	0	0	0	0	0
AC097655.1	318	0	0	0	0	0	0
LINC02496	1313	0	0	0	0	0	0
AC105420.1	582	0	0	0	0	0	0
MIR548AG1	66	0	0	0	0	0	0
LINC02271	829	0	0	0	0	0	0
ADGRL3	13991	927	1239	1110	1446	1889	1796
RPL17P19	552	18	6	17	8	11	15
AC020741.1	2079	0	0	0	0	0	0
AC108161.1	402	0	0	0	0	0	0
ADGRL3-AS1	947	0	0	0	0	0	0
RPS15AP17	390	0	0	0	0	0	0
RPL21P47	477	0	0	0	0	0	0
AC105313.1	353	0	0	0	0	0	0
AC074087.1	724	0	0	0	0	0	0
HMGN1P11	303	0	0	0	0	0	0
EXOC5P1	1969	0	1	3	0	3	2
AC097491.1	672	0	0	0	0	0	0
LARP1BP1	1359	0	0	0	0	0	0
AC093730.1	1390	0	0	0	1	0	0
TECRL	6023	0	0	0	0	0	0
RNU6-191P	94	0	0	0	0	0	0
DPP3P1	2063	0	0	0	0	0	0
MTCO3P27	196	0	0	0	0	0	0
MTCYBP16	1129	0	0	0	0	0	0
MTND6P16	520	0	0	0	0	0	0
MTND5P13	1079	0	0	0	0	0	0
MTND4LP31	294	0	0	0	0	0	0
MTND3P24	329	0	0	0	0	0	0
MTCO3P28	515	0	0	0	0	0	0
AC104689.1	768	0	0	0	0	0	0
AC104689.2	548	0	0	0	0	1	0
LINC02232	6364	0	0	0	1	0	3
AC107058.1	1384	0	0	0	0	0	0
EFL1P2	1603	0	0	0	0	0	0
AC096754.1	818	0	0	0	0	0	0
AC018683.1	858	0	0	0	0	0	0
EPHA5	9833	3	2	2	17	18	29
AC115223.1	870	9	5	5	10	18	12
EPHA5-AS1	1258	2	1	0	6	5	14
AC104137.1	385	0	0	0	1	1	2
RNU2-40P	196	0	0	0	0	0	0
AC097110.1	768	0	0	0	0	0	0
AC116049.2	754	0	1	0	4	3	2
AC096721.1	552	3	2	1	1	5	5
AC116049.1	385	0	0	0	0	0	1
AC110809.1	2575	0	0	0	0	0	0
MIR1269A	105	0	0	0	0	0	0
RPS23P3	430	0	0	0	0	0	0
RNU6-699P	110	0	0	0	0	0	0
AC104806.2	3252	15	1	10	17	11	22
RNU1-63P	164	2	0	0	0	1	3
RNA5SP527	127	0	0	0	0	0	0
AC104806.1	308	0	0	0	0	0	0
CENPC	8496	266	303	349	716	904	926
STAP1	1951	0	0	0	0	0	0
AC096720.2	2458	5	10	5	9	5	6
UBA6	11408	1145	1426	1716	1815	2321	2320
AC096720.1	183	0	0	0	0	0	0
UBA6-AS1	13688	238	376	237	344	462	443
ST3GAL1P1	1014	0	0	0	0	0	0
AC079880.1	2046	0	1	1	1	4	4
AC079880.2	1213	0	0	0	0	0	0
GNRHR	2164	0	0	0	0	0	0
TMPRSS11CP	683	0	0	0	0	0	0
TMPRSS11D	3294	0	0	0	0	0	0
TMPRSS11A	3970	0	0	0	0	0	0
TMPRSS11GP	1269	0	0	0	0	0	0
RNU6-95P	107	0	0	0	0	0	0
GCOM2	1104	0	1	0	2	1	1
MTND2P41	773	0	0	0	0	0	0
TMPRSS11F	2088	0	1	4	3	2	1
SYT14P1	1448	0	0	0	0	0	0
FTLP10	1501	0	0	0	0	0	0
TMPRSS11BNL	4338	0	0	0	0	0	0
TMPRSS11B	3378	0	0	0	0	0	0
AC098799.3	438	0	0	0	0	0	0
AC098799.1	800	0	0	0	0	0	0
AC098799.2	868	0	1	0	0	0	0
APOOP4	597	0	0	1	0	1	2
YTHDC1	7032	1455	1940	2240	1730	2473	2389
MT2P1	183	0	0	0	0	0	0
TMPRSS11E	2124	48	63	73	6	8	6
UGT2B29P	973	0	0	0	0	0	0
UGT2B17	2077	0	0	0	0	0	0
AC147055.2	595	0	0	0	0	0	0
AC147055.4	745	0	0	0	0	0	0
AC147055.3	851	0	0	0	0	0	0
UGT2B15	2134	0	2	1	0	0	0
AC147055.1	750	0	0	0	0	0	0
AC093720.1	714	0	0	0	0	0	0
AC021146.8	733	0	0	0	0	0	0
UGT2B10	2757	0	1	0	0	0	0
AC021146.9	156	0	0	0	0	0	0
AC021146.4	279	0	0	0	0	0	0
AC021146.11	491	0	0	1	0	1	0
AC021146.2	556	0	0	0	2	0	2
AC021146.3	260	0	0	2	0	1	2
AC021146.12	477	0	4	2	0	1	7
AC021146.6	117	0	0	0	0	0	0
AC021146.1	716	0	0	0	0	0	0
UGT2A3	3075	0	0	0	0	0	0
AC021146.10	706	0	0	0	0	0	0
AC021146.5	545	0	0	0	0	0	0
AC021146.7	775	0	0	0	0	0	0
UGT2B27P	1620	0	1	1	0	0	0
AC107401.1	685	0	0	0	0	0	0
UGT2B26P	1613	0	0	0	0	0	0
UGT2B7	2260	0	0	0	0	0	0
AC111000.2	550	0	0	0	0	0	0
AC111000.5	1178	0	0	0	0	0	0
AC111000.3	576	0	0	0	0	0	0
AC111000.6	709	0	0	0	0	0	0
AC111000.1	713	0	0	0	0	0	0
AC111000.4	3025	0	0	0	0	0	0
UGT2B11	2340	0	1	0	0	0	0
AC114797.1	728	0	0	0	0	0	0
AC114786.1	1415	0	0	0	0	0	0
UGT2B28	1833	0	0	0	0	0	0
AC114786.3	705	0	0	0	0	0	0
AC114786.2	1426	0	0	0	0	0	0
AC114786.4	728	0	0	0	0	0	0
UGT2B25P	1586	0	0	0	0	0	0
AC108078.1	725	0	0	0	0	0	0
UGT2B24P	1597	0	0	0	0	0	0
AC108078.3	489	0	0	0	0	0	0
AC108078.2	236	0	0	0	0	0	0
UGT2B4	2506	0	0	0	0	0	0
UGT2A3P7	734	0	0	0	0	0	0
AC093829.1	1618	0	0	0	0	0	0
UGT2A1	3919	0	5	1	0	0	0
UGT2A2	1676	0	0	0	0	0	0
SULT1B1	7259	0	0	0	0	0	1
SULT1D1P	882	0	0	0	0	0	0
AC108941.2	716	0	0	0	0	0	0
SULT1E1	2084	0	0	1	0	0	0
AC108941.1	530	0	0	0	0	0	0
CSN1S1	998	0	0	0	0	0	0
CSN2	1066	0	0	0	0	0	0
STATH	2176	0	0	0	0	0	0
HTN3	2077	0	0	0	0	0	0
HTN1	3817	0	0	0	0	0	0
CSN1S2AP	886	0	0	0	0	0	0
PRR27	5336	0	0	0	0	0	0
ODAM	1562	0	0	0	0	0	0
FDCSP	566	0	0	0	0	0	0
CSN3	836	0	0	0	0	0	0
CABS1	1517	0	0	0	3	0	2
SMR3A	665	0	0	0	0	0	0
SMR3B	1436	0	0	0	0	0	0
OPRPN	1048	0	0	0	0	0	0
MUC7	2798	0	5	10	0	29	11
AMTN	1009	0	0	0	0	0	0
AMBN	2009	0	0	0	2	10	0
ENAM	5807	0	0	0	0	0	0
AC009570.2	814	0	0	0	0	0	0
JCHAIN	1651	2	2	0	0	0	0
UTP3	2020	353	577	602	438	629	598
RNU6-520P	104	0	0	0	0	3	0
RNU6-784P	106	0	0	0	3	0	1
AC009570.1	745	11	22	20	9	19	23
RUFY3	9405	661	849	785	1383	1959	1831
GRSF1	7736	2695	3212	3443	2521	3261	3284
RNU6-891P	111	1	0	0	0	0	2
MOB1B	8801	626	721	799	818	1104	1067
DCK	3103	461	510	608	793	1013	977
SLC4A4	9120	60	67	64	1	5	7
AC096713.1	978	0	0	0	0	0	0
LDHAL6EP	1143	0	0	0	0	0	0
GC	2095	8	12	7	2	0	0
RNA5SP163	99	0	0	0	0	0	0
AC068721.1	583	0	0	0	0	0	0
NPFFR2	2359	53	71	60	0	1	0
ADAMTS3	7007	286	298	370	65	117	67
AC095056.1	425	0	0	0	0	0	0
HNRNPA1P67	926	0	0	0	0	0	0
RNU4ATAC9P	126	0	0	0	0	0	0
RNU6ATAC5P	126	0	0	0	0	0	0
COX18	6976	407	523	440	388	499	633
ANKRD17	12042	5004	6634	6313	7427	10056	10131
HMGA1P2	324	0	0	2	1	0	0
AC053527.1	685	13	12	7	39	34	47
RF00334	457	6	8	9	11	15	13
AC108157.1	539	0	0	0	0	0	0
ALB	3431	0	0	3	2	0	1
AFP	3259	10	9	4	0	1	3
AFM	2182	0	0	0	0	0	0
LINC02499	1193	1	0	1	0	0	0
AC074250.1	192	0	0	0	0	0	0
RASSF6	6630	0	8	5	2	2	4
UMLILO	575	0	0	0	0	0	0
CXCL8	2239	4	4	4	0	0	0
AC112518.1	425	0	0	0	0	0	0
CXCL6	2040	25	33	25	1	5	3
PPBPP1	373	0	0	0	0	0	0
PF4V1	743	0	0	0	0	0	0
CXCL1	1296	24	32	30	8	17	14
HNRNPA1P55	955	0	0	0	0	0	0
CXCL1P1	216	0	0	0	0	0	0
PF4	604	5	9	0	0	0	0
PPBP	1307	0	1	3	0	0	0
CXCL5	2436	60	71	53	8	12	14
AC097709.1	1822	9	13	9	0	0	0
RN7SL218P	299	0	0	0	0	0	0
CXCL3	2219	38	38	16	3	4	5
PPBPP2	1362	0	1	0	0	0	0
AC093677.3	1834	0	0	0	0	0	0
AC093677.1	678	0	0	0	0	0	0
CXCL2	1398	4	3	7	1	4	0
MTHFD2L	9819	152	219	177	160	258	268
AC093677.2	1863	4	3	0	2	7	6
EPGN	1814	0	0	0	0	3	0
EREG	5713	1	2	0	0	0	0
AC021180.1	558	0	0	0	0	0	0
AREG	1642	3	7	0	0	0	0
AC239584.1	732	0	0	0	0	0	0
BTC	2653	1	2	0	1	0	0
AC098825.1	529	0	0	0	0	0	0
HSPE1P23	286	0	0	0	0	0	0
PARM1	5034	753	790	833	84	128	110
AC110760.2	3341	0	0	0	0	4	0
AC110760.1	590	0	1	0	0	1	0
LINC02562	1033	95	104	68	91	122	79
AC110760.3	467	0	0	0	0	0	0
AC093870.1	213	0	0	0	0	0	0
AC025244.1	469	2	1	0	0	0	0
AC025244.2	422	0	0	0	0	0	0
LINC02483	1143	0	0	0	0	0	0
AC096759.1	473	0	1	0	0	0	0
AC096759.2	800	0	4	0	0	1	0
RCHY1	6565	433	508	556	261	395	424
THAP6	7127	119	173	166	279	398	420
ODAPH	2054	0	0	0	2	5	8
CDKL2	5290	11	13	20	20	17	25
G3BP2	7183	6922	8433	9857	6761	9961	9666
USO1	4588	3017	3981	4844	1835	2508	2506
AC110615.1	2475	0	1	2	3	0	1
RNU2-16P	136	0	0	0	0	0	0
PPEF2	4979	0	1	1	1	1	2
NAAA	4416	111	152	104	22	26	43
SDAD1	3491	880	1220	1388	814	1081	1248
AC112719.2	1685	0	0	0	0	0	0
CXCL9	2740	0	0	0	0	0	0
ART3	3278	4	0	1	0	5	1
CXCL10	1175	0	0	0	0	0	0
CXCL11	1908	0	3	1	3	0	1
AC112719.1	315	0	0	0	0	0	0
NUP54	3991	1286	1788	1787	1740	2442	2361
AC110795.1	803	4	3	4	10	11	10
SCARB2	19295	1199	1509	1686	3587	4747	4770
FAM47E	9511	7	18	7	37	42	50
AC034139.1	1889	0	2	0	0	0	0
FAM47E-STBD1	3242	2	0	0	0	0	0
STBD1	3420	4	4	2	4	5	3
CCDC158	5860	1	0	0	0	0	0
SNX5P1	1041	0	1	1	0	0	1
RNU6-1000P	106	0	0	0	0	0	0
AC096743.1	319	0	0	0	0	0	0
RF00278	141	0	0	0	0	0	0
SHROOM3	13829	3532	4405	3590	4796	6523	6084
AC112249.1	436	0	0	0	0	0	0
RNU6-145P	106	0	0	0	0	0	0
MIR4450	65	0	0	2	6	8	2
MIR548AH	76	0	0	1	3	1	0
AC107072.2	4347	5	4	14	5	18	4
AC107072.1	110	0	0	0	1	0	1
AC104687.2	342	0	0	0	0	2	0
AC104687.1	412	0	0	0	0	0	0
SOWAHB	3220	43	65	37	17	49	33
SEPT11	9787	4787	5490	6258	5434	7741	7811
TXNP6	310	0	1	1	0	0	0
CCNI	3728	8080	9636	9538	20159	25169	23342
RPL7P17	724	0	0	0	0	0	0
AC104771.1	964	0	0	0	0	0	0
RNU6-1187P	110	0	0	0	0	0	3
CCNG2	7416	453	460	516	2975	4143	4025
AC008638.3	463	0	0	0	0	0	0
AC008638.2	715	0	0	0	0	0	0
AC008638.1	866	0	0	0	0	0	0
AC092674.1	571	0	0	0	0	0	0
CXCL13	1431	0	0	0	2	0	0
CNOT6L	9367	651	798	950	456	664	608
MRPL1	1628	122	197	182	141	195	183
AC112225.1	297	0	0	0	0	0	0
AC114801.2	781	0	0	0	0	0	0
HMGB1P44	572	0	0	0	0	0	1
HNRNPA1P56	954	0	0	0	0	0	0
AC114801.1	297	0	0	0	0	0	0
AC114801.3	177	0	0	0	0	0	0
FRAS1	19207	16122	18041	16301	7906	10920	9990
SERBP1P5	1181	2	3	4	6	2	8
MICOS10P4	318	4	7	0	1	0	2
ANXA3	4895	185	273	254	661	946	957
LINC01094	5678	1	0	0	0	0	0
HIGD1AP13	289	0	0	0	0	0	0
AC112253.1	1037	0	0	0	0	0	0
AC098818.1	252	0	0	0	0	0	0
AC098818.2	2320	9	13	4	31	31	23
BMP2K	9938	627	783	878	933	1178	1193
AC098818.3	70	0	0	0	0	0	1
PAQR3	12403	543	709	692	919	1227	1299
RN7SL127P	300	0	0	0	2	1	1
LINC01088	10628	4	4	6	10	33	25
NAA11	2701	0	0	0	1	0	0
GK2	1942	0	0	0	0	0	0
LINC00989	6232	2	2	1	0	0	0
OR7E94P	829	0	0	0	0	0	0
AC092542.1	355	0	0	0	0	0	0
LINC02469	741	0	0	1	0	0	0
PCAT4	2247	0	0	0	0	0	0
ANTXR2	10010	222	282	359	306	468	411
KPNA2P1	1591	0	0	0	2	0	1
RPSAP39	883	0	0	0	0	0	0
AC021127.1	1793	0	0	0	2	0	1
PRDM8	4588	0	0	0	3	0	2
FGF5	5998	0	1	0	0	0	1
CFAP299	4478	0	0	0	0	0	0
AC105917.1	2539	0	0	0	0	0	0
BMP3	6092	5	12	18	97	110	130
PRKG2	5116	61	73	70	75	108	101
AC139722.1	867	0	0	0	0	0	0
RNU5A-2P	116	0	0	0	0	0	0
RASGEF1B	10183	250	268	257	425	489	525
MTCYBP44	823	3	1	4	0	0	0
COX5BP1	393	1	0	0	0	0	0
NPM1P41	831	2	0	5	0	0	2
HNRNPA3P13	1122	0	0	0	0	0	0
RNU6-499P	107	0	0	0	0	0	0
BIN2P1	1530	0	0	0	0	0	0
VAMP9P	967	0	0	0	0	1	0
AC124016.2	1899	43	59	50	29	47	42
HNRNPD	6981	9540	12115	11728	7886	9580	9603
AC124016.1	906	22	18	20	53	57	58
IGBP1P4	879	0	0	0	0	0	2
RF00150	137	0	0	0	0	1	2
HNRNPDL	5476	3704	4873	5639	3831	5032	4977
ENOPH1	2083	1445	1814	1660	1001	1478	1505
TMEM150C	3497	107	143	133	129	189	174
RPL7AP26	813	2	0	0	0	3	1
AC067942.1	1493	3	1	2	1	0	3
AC067942.3	362	0	0	0	0	0	0
AC067942.2	1268	0	0	0	1	0	0
LINC00575	1389	0	0	0	1	2	0
AC067942.4	922	0	0	0	0	0	0
SCD5	4231	235	316	247	1260	1719	1677
AC073413.1	732	0	0	0	0	0	0
MIR575	94	0	2	0	3	4	7
AC073413.2	360	0	0	0	0	0	0
SEC31A	9297	3131	3770	3283	4994	6878	6469
THAP9-AS1	4397	317	385	409	539	808	804
THAP9	4332	236	281	341	486	643	687
LIN54	6762	288	392	354	392	555	602
RNU6-615P	106	0	0	0	0	0	0
COPS4	3566	492	613	463	672	991	1049
AC073840.1	3267	2	1	0	3	4	4
PLAC8	3853	9	12	5	1	5	3
AC114781.2	394	0	0	0	0	0	5
AC114781.3	142	0	0	0	0	0	0
AC114781.1	1028	0	0	0	0	0	0
COQ2	2774	377	552	537	428	538	477
HPSE	4687	71	87	82	12	21	15
AC114781.5	108	0	0	0	0	0	0
AC114781.4	639	0	0	0	0	0	0
HELQ	3712	99	144	153	220	248	265
MRPS18C	4866	294	340	334	310	352	359
ABRAXAS1	7699	317	441	500	463	719	749
SLC25A14P1	901	0	0	0	1	0	2
RPL30P5	336	0	0	0	0	0	0
GPAT3	3623	38	34	27	8	5	14
AC021192.1	791	0	0	0	0	0	0
AC079160.1	4971	6	13	17	12	13	22
RNU6-774P	107	0	0	0	0	0	0
AC025538.1	1486	0	0	0	0	0	0
AC104063.1	702	0	0	0	0	0	0
NKX6-1	3086	2	8	4	13	11	15
RPL3P13	216	0	0	0	0	0	0
CDS1	4309	579	817	728	377	436	472
WDFY3	16856	4316	4970	5062	4233	6005	5876
RN7SL552P	276	1	4	2	3	9	4
WDFY3-AS1	644	0	0	0	0	0	0
RNU6-469P	101	1	0	0	0	2	1
WDFY3-AS2	9357	39	53	35	52	59	65
AC108021.1	551	0	2	0	0	0	0
RN7SKP48	328	0	0	0	0	0	0
AC097488.1	756	0	0	0	0	0	0
ARHGAP24	7870	76	84	121	182	278	295
MIR4451	66	1	1	0	0	1	0
MAPK10	42646	143	167	162	3266	4797	4674
AC104827.1	1100	0	0	0	0	0	0
RN7SKP96	297	0	3	0	21	19	19
MIR4452	71	0	1	0	0	1	0
PTPN13	9496	2380	3079	3313	5123	6626	6503
SLC10A6	1502	0	0	0	2	1	3
AC093827.1	861	0	0	0	0	0	0
C4orf36	2100	2	0	0	5	2	1
AC093827.2	315	0	0	0	0	0	0
AC093827.5	2497	5	0	6	4	5	4
AC093827.3	1110	6	6	6	3	11	2
AC093827.4	2801	32	34	27	14	17	9
AFF1	10733	4650	5500	5925	5819	8303	7717
TECRP1	445	0	7	1	1	3	5
KLHL8	7354	300	328	324	776	1059	1101
AC092658.1	891	0	0	0	0	0	0
GAPDHP60	995	0	0	2	0	2	0
AC108516.1	257	0	0	0	0	0	0
MIR5705	89	0	0	0	0	0	0
HSD17B13	2377	1	1	2	6	4	6
AC108516.2	349	0	1	0	1	1	0
HSD17B11	2332	292	344	422	477	663	617
RN7SL681P	292	0	0	0	0	0	0
AC112250.1	745	0	0	0	0	0	0
NUDT9	3194	327	401	425	166	239	218
AC112250.2	491	0	0	0	0	0	0
SPARCL1	3477	4	13	10	0	1	2
AC093895.1	1825	1	1	0	0	1	2
DSPP	4331	0	0	0	0	0	0
DMP1	2682	0	1	1	0	0	0
CHCHD2P7	452	1	0	1	1	3	2
IBSP	1573	0	0	0	0	0	0
MEPE	2477	0	0	0	0	0	0
HSP90AB3P	2173	13	22	19	10	21	22
AC131944.1	1785	0	0	3	0	0	0
SPP1	2321	1060	1441	1501	625	810	836
RNU1-36P	165	0	0	0	0	0	0
PKD2	5531	1109	1330	1431	1133	1554	1616
ABCG2	5602	312	310	364	14	54	49
AC097484.1	389	0	0	0	0	0	0
RNU6-818P	108	0	0	0	0	0	0
RNU6ATAC31P	126	0	0	0	0	0	0
AC097484.2	251	0	0	0	0	0	0
RNU6-1298P	101	0	0	0	0	0	0
PPM1K	11371	169	179	215	156	252	227
RNU6-112P	104	0	0	0	0	0	0
PPM1K-DT	2591	1	2	0	1	2	1
AC107067.2	1745	0	5	0	0	0	0
AC107067.1	1019	2	0	0	0	0	0
HERC6	5793	173	185	283	31	15	41
HERC5	4764	165	241	287	102	178	146
NCOA4P2	1813	1	0	0	3	1	2
PYURF	1311	243	328	232	276	442	380
PIGY	217	0	0	0	0	0	0
AC098582.1	4967	0	0	0	0	0	0
PIGY-DT	335	3	0	0	0	7	4
AC083829.1	657	0	0	0	0	1	0
RN7SKP244	307	0	0	0	0	0	0
HERC3	6969	0	1	2	3	2	5
RNU6-33P	107	1	0	0	1	4	0
NAP1L5	1915	44	63	51	43	68	74
FAM13A-AS1	9781	10	7	5	10	10	6
RF02114	119	0	0	0	0	0	0
RF02115	108	0	0	0	0	0	0
FAM13A	13215	434	556	533	859	1214	1195
TIGD2	3217	159	230	325	530	724	745
AC104785.1	588	0	3	1	3	12	5
RNU6-907P	102	0	0	0	0	0	0
GPRIN3	14998	110	136	130	6	18	27
AC093866.1	6974	74	102	87	272	338	337
SNCA	4014	78	98	88	65	73	74
AC097478.1	514	0	0	1	4	5	2
AC097478.3	522	1	1	0	0	0	3
AC097478.2	872	0	0	0	4	1	5
SNCA-AS1	2990	2	0	0	0	2	0
MMRN1	5510	2	2	4	6	6	4
AC105445.1	817	1	0	0	0	0	0
CCSER1	10474	76	110	89	29	46	24
RN7SKP248	305	0	0	0	0	0	0
AC093729.1	128	0	0	0	0	0	0
TMSB4XP8	135	27	36	53	20	30	35
AC004054.1	270	0	0	0	0	0	0
AC074124.1	375	0	0	0	0	0	0
AC110774.1	2018	0	0	0	0	0	0
KRT19P6	209	0	0	0	0	0	0
AC093810.1	577	0	0	0	0	0	0
PMPCAP1	1576	10	8	8	17	16	15
AC097520.2	1170	0	0	0	0	0	0
AC097520.1	385	53	106	107	2	3	0
LNCPRESS2	616	335	487	370	4	7	7
AC112695.1	592	2	4	3	0	0	0
GRID2	10617	2277	2896	2718	253	356	369
MTND1P19	315	14	17	20	3	0	0
